workbook,sheet,row,name,modelNumber,manufacturer,vendor,description,category,price,url,finish,color,collection,is_noise
normalized_products_db.xlsx,Sheet1,1158,Electric  2 Vanity Lights  Ferguson  0.0 False False 0.0,,,Ferguson,Electric  2 Vanity Lights  Ferguson  0.0 False False 0.0,Electrical,,,,,,0
normalized_products_db.xlsx,Sheet1,1159,Exhaust Fan - No Light  200.52 Ferguson Home  0.0 False 2025-08-11 00:00:00 False 0.0,,,Ferguson,Exhaust Fan - No Light  200.52 Ferguson Home  0.0 False 2025-08-11 00:00:00 False 0.0,Electrical,0,,,,,0
normalized_products_db.xlsx,Sheet1,1161,MISC  Moen Folding Shower Seat  246.8 Amazon  0.0 False False 0.0,,Moen,Amazon,MISC  Moen Folding Shower Seat  246.8 Amazon  0.0 False False 0.0,Plumbing,246.8,,,,,0
normalized_products_db.xlsx,Sheet1,1162,"TP, Towel Bars, Hooks  Ferguson 0.0 False False 0.0",,,Ferguson,"TP, Towel Bars, Hooks  Ferguson 0.0 False False 0.0",Hardware,,,,,,0
normalized_products_db.xlsx,Sheet1,1165,Faucet -  Ferguson  0.0 False False 0.0,,,Ferguson,Faucet -  Ferguson  0.0 False False 0.0,Plumbing,,,,,,0
normalized_products_db.xlsx,Sheet1,1166,Sinks Undermount Rect Ferguson  0.0 False False 0.0,,,Ferguson,Sinks Undermount Rect Ferguson  0.0 False False 0.0,Plumbing,,,,,,0
normalized_products_db.xlsx,Sheet1,1167,Toilet Comfort Elongated  Ferguson  0.0 False False 0.0,,,Ferguson,Toilet Comfort Elongated  Ferguson  0.0 False False 0.0,Plumbing,,,,,,0
normalized_products_db.xlsx,Sheet1,1168,"Tub/Shower  Tub - 60"" x 36"" Right Drain  Ferguson 0.0 False False 0.0",,,Ferguson,"Tub/Shower  Tub - 60"" x 36"" Right Drain  Ferguson 0.0 False False 0.0",Plumbing,36,,,,,0
normalized_products_db.xlsx,Sheet1,1169,Shower Valve & Trim Ferguson 0.0 False False 0.0,,,Ferguson,Shower Valve & Trim Ferguson 0.0 False False 0.0,Plumbing,,,,,,0
normalized_products_db.xlsx,Sheet1,1170,Shower Head & Escitheon Plate  Ferguson 0.0 False False 0.0,,,Ferguson,Shower Head & Escitheon Plate  Ferguson 0.0 False False 0.0,Plumbing,,,,,,0
normalized_products_db.xlsx,Sheet1,1171,Valve & Value Trim  Ferguson 0.0 False False 0.0,,,Ferguson,Valve & Value Trim  Ferguson 0.0 False False 0.0,Plumbing,,,,,,0
normalized_products_db.xlsx,Sheet1,1172,Tub Spout  Ferguson 0.0 False False 0.0,,,Ferguson,Tub Spout  Ferguson 0.0 False False 0.0,Plumbing,,,,,,0
normalized_products_db.xlsx,Sheet1,1173,Diverter if Hand held desired  Ferguson 0.0 False False 0.0,,,Ferguson,Diverter if Hand held desired  Ferguson 0.0 False False 0.0,,,,,,,0
normalized_products_db.xlsx,Sheet1,1174,Hook  Ferguson 0.0 False False 0.0,,,Ferguson,Hook  Ferguson 0.0 False False 0.0,,,,,,,0
normalized_products_db.xlsx,Sheet1,1186,Exhaust Fan - Picked with Jason  Ferguson Home  0.0 False False 0.0,,,Ferguson,Exhaust Fan - Picked with Jason  Ferguson Home  0.0 False False 0.0,Electrical,,,,,,0
normalized_products_db.xlsx,Sheet1,1187,Lighted Medicine Cabinet  229.48 Amazon,,,Amazon,Lighted Medicine Cabinet  229.48 Amazon,Electrical,229.48,,,,,0
normalized_products_db.xlsx,Sheet1,1189,"TP, Towel Bars, Hooks  Ferguson  0.0 False False 0.0",,,Ferguson,"TP, Towel Bars, Hooks  Ferguson  0.0 False False 0.0",Hardware,,,,,,0
normalized_products_db.xlsx,Sheet1,1190,Closet  LVP LifeProof Brookfield Marble 45 SQ  Home depot  0.0 True False 0.0,,Lifeproof,Home Depot,Closet  LVP LifeProof Brookfield Marble 45 SQ  Home depot  0.0 True False 0.0,,45,,,,,0
